time (s)	coil I (A)	last det (V)	int current (uC)
427565.943728	0.324717	123.242187	-290.136719
427565.945731	0.666780	123.242187	-290.136719
427565.947731	0.994376	123.242187	-290.136719
427565.949731	1.280384	123.242187	-290.136719
427565.951731	1.342593	123.242187	-290.136719
427565.953731	1.338289	14.721174	0.192210
427566.995774	0.906709	391.113281	48.242187
427566.997776	1.216422	391.113281	48.242187
427566.999776	1.343819	391.113281	48.242187
427567.001778	1.339640	14.736036	0.210224
427568.008292	0.355979	125.878906	-254.394531
427568.010295	0.696431	125.878906	-254.394531
427568.012296	1.022310	125.878906	-254.394531
427568.014295	1.295845	125.878906	-254.394531
427568.016294	1.341396	125.878906	-254.394531
427568.018297	1.337390	14.711293	0.199997
427569.090373	0.483680	368.164062	52.343750
427569.092375	0.819152	368.164062	52.343750
427569.094375	1.137233	368.164062	52.343750
427569.096375	1.336900	368.164062	52.343750
427569.098374	1.339708	368.164062	52.343750
427569.100375	1.336465	14.701110	0.179364
427570.108382	0.850895	118.164062	-300.195312
427570.110387	1.166366	118.164062	-300.195312
427570.112386	1.340702	118.164062	-300.195312
427570.114385	1.339118	14.730302	0.156269
427571.190423	0.963274	356.152344	53.515625
427571.192426	0.973508	356.152344	53.515625
427571.194425	1.342186	356.152344	53.515625
427571.196425	1.337805	14.715857	0.319973
427572.204467	0.673410	113.085937	-333.203125
427572.206466	1.000513	113.085937	-333.203125
427572.208467	1.283543	113.085937	-333.203125
427572.210466	1.341161	113.085937	-333.203125
427572.212468	1.337105	14.708156	0.144096
427573.252462	0.576049	370.019531	53.027344
427573.254464	0.908277	370.019531	53.027344
427573.256465	1.217621	370.019531	53.027344
427573.258465	1.343438	370.019531	53.027344
427573.260467	1.339271	14.731977	0.190430
427574.270526	0.948683	115.429687	-307.128906
427574.272529	1.249527	115.429687	-307.128906
427574.274531	1.342882	115.429687	-307.128906
427574.276531	1.338439	14.722832	0.286624
427575.348529	0.392751	357.421875	54.101562
427575.350532	0.731366	357.421875	54.101562
427575.352531	1.055365	357.421875	54.101562
427575.354532	1.311051	357.421875	54.101562
427575.356532	1.340049	357.421875	54.101562
427575.358532	1.336428	14.700711	0.198341
427576.366594	0.773544	114.941406	-308.984375
427576.368597	1.094872	114.941406	-308.984375
427576.370596	1.325396	114.941406	-308.984375
427576.372597	1.339555	114.941406	-308.984375
427576.376594	1.334056	14.674620	0.174638
427577.445546	0.367098	344.531250	55.468750
427577.447547	0.706871	344.531250	55.468750
427577.453544	1.340576	344.531250	55.468750
427577.455546	1.336795	344.531250	55.468750
427577.457545	1.334543	14.679973	0.171760
427578.465613	1.074642	108.105469	-353.906250
427578.467616	1.318751	108.105469	-353.906250
427578.469616	1.340076	108.105469	-353.906250
427578.471617	1.336549	14.702041	0.130017
427579.512210	0.754877	365.234375	53.906250
427579.514211	1.077496	365.234375	53.906250
427579.516211	1.319378	365.234375	53.906250
427579.518212	1.339369	365.234375	53.906250
427579.520212	1.335912	14.695030	0.186038
427580.528221	0.787491	109.472656	-350.195312
427580.530223	1.107749	109.472656	-350.195312
427580.532223	1.329255	109.472656	-350.195312
427580.534223	1.339364	109.472656	-350.195312
427580.536223	1.336025	14.696271	0.206243
427581.608290	0.574366	345.312500	55.566406
427581.610290	0.906643	345.312500	55.566406
427581.614290	1.342673	345.312500	55.566406
427581.616292	1.338402	345.312500	55.566406
427581.618292	1.335684	14.692522	0.168518
427582.624312	0.610700	108.203125	-358.007812
427582.626315	0.941029	108.203125	-358.007812
427582.628314	1.243653	108.203125	-358.007812
427582.632312	1.338235	108.203125	-358.007812
427582.634314	1.335764	14.693409	0.228398
427583.704857	0.476011	335.449219	56.445312
427583.706858	0.811464	335.449219	56.445312
427583.708857	1.129896	335.449219	56.445312
427583.710859	1.334748	335.449219	56.445312
427583.712859	1.339041	335.449219	56.445312
427583.714859	1.335905	14.694960	0.162220
427584.688889	0.643705	114.746094	-315.527344
427584.690890	0.972348	114.746094	-315.527344
427584.692891	1.265654	114.746094	-315.527344
427584.694891	1.341154	114.746094	-315.527344
427584.696893	1.336812	14.704929	0.192617
427585.768894	0.417143	347.851562	55.859375
427585.770895	0.754698	347.851562	55.859375
427585.772897	1.077301	347.851562	55.859375
427585.776893	1.339519	347.851562	55.859375
427585.778896	1.336064	347.851562	55.859375
427585.780896	1.333828	14.672113	0.178004
427586.786955	0.796007	109.472656	-357.421875
427586.788957	1.115557	109.472656	-357.421875
427586.790959	1.331058	109.472656	-357.421875
427586.792957	1.338817	109.472656	-357.421875
427586.794956	1.335495	14.690449	0.186903
427587.865561	0.330524	333.203125	57.421875
427587.867562	0.671951	333.203125	57.421875
427587.869564	0.999015	333.203125	57.421875
427587.871563	1.282623	333.203125	57.421875
427587.873564	1.341049	333.203125	57.421875
427587.875564	1.336923	14.706153	0.152034
427588.883546	0.702845	106.933594	-377.441406
427588.885547	1.028122	106.933594	-377.441406
427588.887548	1.298075	106.933594	-377.441406
427588.889549	1.339671	106.933594	-377.441406
427588.891548	1.335837	14.694206	0.620277
427589.933538	0.933878	347.753906	56.152344
427589.935541	1.238095	347.753906	56.152344
427589.937541	1.342251	347.753906	56.152344
427589.939540	1.337869	14.716557	0.239943
427590.984057	0.934676	101.464844	-415.917969
427590.988057	1.337157	101.464844	-415.917969
427590.990061	1.334594	14.680532	0.137600
427592.028584	0.585963	329.101562	57.812500
427592.030584	0.917605	329.101562	57.812500
427592.032584	1.225260	329.101562	57.812500
427592.034586	1.342956	329.101562	57.812500
427592.036584	1.338583	14.724419	0.171820
427593.044613	0.624544	108.789062	-378.515625
427593.046615	0.954070	108.789062	-378.515625
427593.048616	1.253221	108.789062	-378.515625
427593.050615	1.342333	108.789062	-378.515625
427593.052616	1.337878	14.716654	0.280317
427594.125608	0.565958	316.210937	59.765625
427594.127609	0.898402	316.210937	59.765625
427594.129612	1.209141	316.210937	59.765625
427594.131609	1.343448	316.210937	59.765625
427594.133611	1.339445	14.733900	0.131610
427595.141616	0.597636	101.953125	-429.199219
427595.143617	0.928624	101.953125	-429.199219
427595.145617	1.233932	101.953125	-429.199219
427595.147617	1.342357	101.953125	-429.199219
427595.149617	1.342250	14.764750	0.149831
427596.191603	0.834016	330.078125	59.179687
427596.193607	1.150561	330.078125	59.179687
427596.195605	1.338347	330.078125	59.179687
427596.197606	1.338789	330.078125	59.179687
427596.199607	1.335719	14.692904	0.193513
427597.237624	0.405462	103.027344	-432.812500
427597.239625	0.743314	103.027344	-432.812500
427597.241625	1.066430	103.027344	-432.812500
427597.243626	1.316243	103.027344	-432.812500
427597.245625	1.341366	103.027344	-432.812500
427597.247626	1.337710	14.714811	0.147925
427598.285663	0.311199	319.531250	59.082031
427598.287666	0.653340	319.531250	59.082031
427598.289669	0.981266	319.531250	59.082031
427598.291667	1.271416	319.531250	59.082031
427598.293672	1.339988	319.531250	59.082031
427598.295673	1.335933	14.695261	0.163309
427599.306225	1.099531	106.250000	-418.261719
427599.308227	1.326417	106.250000	-418.261719
427599.310228	1.338878	106.250000	-418.261719
427599.312228	1.335601	14.691609	0.136026
427600.350242	0.344904	326.464844	57.812500
427600.352246	0.685428	326.464844	57.812500
427600.354252	1.012280	326.464844	57.812500
427600.356257	1.290555	326.464844	57.812500
427600.358256	1.340009	326.464844	57.812500
427600.360256	1.336087	14.696962	0.172109
427601.400272	0.593964	105.371094	-436.621094
427601.402272	0.925041	105.371094	-436.621094
427601.404273	1.231165	105.371094	-436.621094
427601.406274	1.342880	105.371094	-436.621094
427601.408272	1.338386	14.722246	0.144478
427602.448293	0.500213	315.039062	58.300781
427602.450295	0.834668	315.039062	58.300781
427602.452297	1.151217	315.039062	58.300781
